"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2128700000"," -78,1","   6,5","-107,4"," -62,6","136",
"8/8/2021  20:10:00,000","  2128800000"," -78,6","   7,0","-100,6"," -63,1","136",
"8/8/2021  20:10:00,000","  2128900000"," -77,8","   6,3"," -99,5"," -63,6","136",
"8/8/2021  20:10:00,000","  2129000000"," -78,7","   6,5"," -97,6"," -65,5","136",
"8/8/2021  20:10:00,000","  2129100000"," -78,9","   5,9"," -96,4"," -65,1","136",
"8/8/2021  20:10:00,000","  2129200000"," -80,6","   6,5"," -97,0"," -67,6","136",
"8/8/2021  20:10:00,000","  2129300000"," -81,9","   6,4","-107,6"," -68,3","136",
"8/8/2021  20:10:00,000","  2129400000"," -84,4","   7,0","-105,1"," -70,8","136",
"8/8/2021  20:10:00,000","  2129500000"," -86,8","   6,8","-110,0"," -72,2","136",
"8/8/2021  20:10:00,000","  2129600000"," -91,6","   6,3","-115,8"," -77,9","136",
"8/8/2021  20:10:00,000","  2129700000","-100,6","   6,9","-121,5"," -87,1","136",
"8/8/2021  20:10:00,000","  2129800000","-110,6","   5,8","-133,3"," -99,1","136",
"8/8/2021  20:10:00,000","  2129900000","-113,2","   5,4","-135,6","-102,2","136",
"8/8/2021  20:10:00,000","  2130000000","-113,8","   5,2","-132,0","-104,1","136",
"8/8/2021  20:10:00,000","  2130100000","-113,8","   5,7","-133,0","-104,4","136",
"8/8/2021  20:10:00,000","  2130200000","-111,2","   5,1","-132,6"," -99,8","136",
"8/8/2021  20:10:00,000","  2130300000","-101,5","   7,1","-124,6"," -87,0","136",
"8/8/2021  20:10:00,000","  2130400000"," -92,9","   6,9","-108,6"," -76,3","136",
"8/8/2021  20:10:00,000","  2130500000"," -87,5","   6,5","-108,2"," -72,9","136",
"8/8/2021  20:10:00,000","  2130600000"," -85,0","   7,6","-112,2"," -71,7","136",
"8/8/2021  20:10:00,000","  2130700000"," -82,3","   6,8","-100,5"," -67,5","136",
"8/8/2021  20:10:00,000","  2130800000"," -81,3","   7,4","-104,4"," -64,1","136",
"8/8/2021  20:10:00,000","  2130900000"," -80,0","   7,8","-114,6"," -65,9","136",
"8/8/2021  20:10:00,000","  2131000000"," -80,0","   8,3","-114,2"," -66,2","136",
"8/8/2021  20:10:00,000","  2131100000"," -80,2","   7,4","-107,2"," -66,4","136",
"8/8/2021  20:10:00,000","  2131200000"," -80,9","   7,8","-110,6"," -66,8","136",
"8/8/2021  20:10:00,000","  2131300000"," -80,7","   7,7","-106,4"," -65,6","136",
"8/8/2021  20:10:00,000","  2131400000"," -80,6","   7,5","-110,2"," -64,7","136",
"8/8/2021  20:10:00,000","  2131500000"," -80,8","   6,9","-102,1"," -64,0","136",
"8/8/2021  20:10:00,000","  2131600000"," -80,9","   7,3","-106,7"," -64,7","136",
"8/8/2021  20:10:00,000","  2131700000"," -81,2","   8,4","-114,9"," -65,2","136",
"8/8/2021  20:10:00,000","  2131800000"," -80,1","   7,8","-118,5"," -63,3","136",
"8/8/2021  20:10:00,000","  2131900000"," -80,0","   7,1","-105,2"," -62,1","136",
"8/8/2021  20:10:00,000","  2132000000"," -80,8","   7,6","-109,3"," -64,7","136",
"8/8/2021  20:10:00,000","  2132100000"," -81,2","   8,0","-109,3"," -65,4","136",
"8/8/2021  20:10:00,000","  2132200000"," -80,5","   6,9","-107,0"," -65,3","136",
"8/8/2021  20:10:00,000","  2132300000"," -80,7","   7,0","-100,8"," -66,5","136",
"8/8/2021  20:10:00,000","  2132400000"," -81,1","   7,7","-103,9"," -64,1","136",
"8/8/2021  20:10:00,000","  2132500000"," -80,0","   6,9"," -98,1"," -67,0","136",
"8/8/2021  20:10:00,000","  2132600000"," -80,5","   7,1"," -98,4"," -67,7","136",
